brand,description,rating,reviews,sort,data_coleta,old,new
ASCENSION,Tênis Esportivo Exercícios Conforto E Estilo,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,129.54,12.0
UNDER ARMOUR,Under Armour Dagger Masculino Adultos,4.4,30,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,399.99,348.99
FILA,Tênis Racer Gripper Fila Unissex Original ,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,329.99,237.59
,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção ,4.3,2216,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,78.99,62.7
LORENZZO LOPEZ,Tênis Masculino Esportivo Caminhada E Academia Leve,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,109.9,36.63
FILA,Tênis Fila Masculino Float Elite Corrida ,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,749.9,457.43
OLYMPIKUS,Olympikus Cyber 3 Masculino Adultos,4.7,34,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,199.99,180.5
,Tenis Esporte Academia Corrida Caminhada Confortável Leve,4.5,370,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,69.9,6.79
FILA,Tênis Fila Recovery Masculino Preto E Cinza,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,359.9,35.99
OLDSEN,Tenis Masculino Casual Macio Caminhada Treino Oldsen Bmax ,4.2,72,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,78.99,75.04
,Tênis Masculino Tamanho Especial Revior Original,4.6,60,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,139.9,109.12
FILA,Tênis Para Corrida Masculino Performance Fila Float Elite ,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,749.9,449.94
PUMA,Puma Cell Divide V2 BDP Masculino Adultos,4.7,69,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,499.9,348.99
